Date,raw,pctl_10y,flipped_pctl,delta_12m,delta_pctl,zscore_10y,delta_zscore
1930-01-31,22.3,88.23529411764706,11.764705882352942,-4.800000000000001,0.0,1.3806412127024996,-2.394012596945461
1930-02-28,23.7,89.91596638655463,10.08403361344537,-3.400000000000002,1.680672268907563,1.5429367324128478,-1.8768758456348957
1930-03-31,24.6,89.91596638655463,10.08403361344537,-3.099999999999998,3.361344537815126,1.631950308278879,-1.7493673755102417
1930-04-30,25.8,91.59663865546219,8.403361344537814,-1.8000000000000007,5.88235294117647,1.7557669360926997,-1.2989934195157027
1930-05-31,24.3,88.23529411764706,11.764705882352942,-3.3999999999999986,2.5210084033613445,1.523746606602761,-1.8243159256661927
1930-06-30,21.9,83.19327731092437,16.806722689075627,-6.0,0.0,1.1818379586531078,-2.6316974791170007
1930-07-31,21.6,80.67226890756302,19.327731092436977,-8.299999999999997,0.0,1.1226825491539323,-3.2438724839446285
1930-08-31,21.3,78.99159663865547,21.008403361344534,-10.2,0.0,1.0646969070714871,-3.623355116057785
1930-09-30,21.1,76.47058823529412,23.529411764705884,-11.5,0.0,1.0208161428471965,-3.7570419582547956
1930-10-31,18.2,71.42857142857143,28.57142857142857,-10.8,0.8403361344537815,0.6202334648033059,-3.373108876434782
1930-11-30,16.9,67.22689075630252,32.773109243697476,-4.300000000000001,5.042016806722689,0.4343910813524079,-1.5967240199763972
1930-12-31,16.1,66.38655462184873,33.61344537815127,-5.899999999999999,4.201680672268908,0.31546647139785455,-1.987375228166772
1931-01-31,16.7,66.38655462184873,33.61344537815127,-5.600000000000001,5.042016806722689,0.3858436535141108,-1.8728034938070728
1931-02-28,18.2,70.58823529411765,29.411764705882348,-5.5,5.88235294117647,0.5784710623944468,-1.811151929792153
1931-03-31,18.6,71.42857142857143,28.57142857142857,-6.0,3.361344537815126,0.6208173481981197,-1.9009960293429047
1931-04-30,16.9,64.70588235294117,35.294117647058826,-8.900000000000002,2.5210084033613445,0.3754799512156607,-2.54815475896386
1931-05-31,15.4,61.34453781512605,38.65546218487395,-8.9,3.361344537815126,0.1573318317942681,-2.46376826374273
1931-06-30,15.1,59.66386554621849,40.33613445378151,-6.799999999999999,5.042016806722689,0.10474289237928654,-1.9145974793361178
1931-07-31,15.5,61.34453781512605,38.65546218487395,-6.100000000000001,5.88235294117647,0.14985073848023167,-1.7152893833334266
1931-08-31,15.0,57.14285714285714,42.85714285714286,-6.300000000000001,5.88235294117647,0.06817840597740124,-1.7275804985640075
1931-09-30,12.8,52.10084033613446,47.89915966386554,-8.3,4.201680672268908,-0.25538249980148775,-2.1319194179039482
1931-10-31,11.2,43.69747899159664,56.30252100840336,-7.0,5.88235294117647,-0.4944743283275854,-1.799035784781494
1931-11-30,11.4,46.21848739495798,53.78151260504202,-5.499999999999998,13.445378151260504,-0.4751911420094313,-1.4393198563032368
1931-12-31,9.3,29.411764705882355,70.58823529411765,-6.800000000000001,6.722689075630252,-0.7867224140518986,-1.6916246382872848
1932-01-31,9.3,28.57142857142857,71.42857142857143,-7.399999999999999,5.88235294117647,-0.7932999187755376,-1.7828164991786857
1932-02-29,9.3,27.73109243697479,72.26890756302521,-8.899999999999999,4.201680672268908,-0.7994625442410926,-2.0510734127536154
1932-03-31,9.4,30.252100840336134,69.74789915966386,-9.200000000000001,2.5210084033613445,-0.7904536405101107,-2.05793435611931
1932-04-30,7.2,0.0,100.0,-9.7,2.5210084033613445,-1.1138135510271803,-2.101961197595513
1932-05-31,6.4,0.0,100.0,-9.0,4.201680672268908,-1.2279329234448555,-1.910577247661805
1932-06-30,5.6,0.0,100.0,-9.5,3.361344537815126,-1.3390052677481117,-1.9598133350790226
1932-07-31,5.8,0.8403361344537815,99.15966386554622,-9.7,2.5210084033613445,-1.304133538991639,-1.9486578327984063
1932-08-31,8.8,25.210084033613445,74.78991596638656,-6.199999999999999,15.126050420168067,-0.8678175047944705,-1.2444554789194362
1932-09-30,9.8,33.61344537815126,66.38655462184875,-3.0,27.73109243697479,-0.7245975404939585,-0.6140313353843792
1932-10-31,8.5,20.168067226890756,79.83193277310924,-2.6999999999999993,28.57142857142857,-0.9151216972950181,-0.5467860422547994
1932-11-30,8.5,19.327731092436977,80.67226890756302,-2.9000000000000004,28.57142857142857,-0.9162684359596517,-0.5768981037075123
1932-12-31,8.3,15.966386554621847,84.03361344537815,-1.0,31.932773109243694,-0.9462700331415718,-0.2042619740935424
