Date,margin_debt,margin_yoy,delta_yoy_6m,yoy_zscore,yoy_pctl,peak_signal,spx_yoy,margin_minus_spx
2005-09-30,244669,26.334242105045757,7.83081302919868,0.5328989993823531,60.57692307692307,0,10.248703547524629,16.085538557521126
2005-10-31,239868,21.14606639427472,11.754181980506594,0.33807657184623163,51.42857142857142,0,6.796142275703421,14.349924118571298
2005-11-30,242904,15.113832388679317,1.927387688586979,0.11221754733181517,40.56603773584906,0,6.445621986335226,8.66821040234409
2005-12-31,244098,12.191310502681851,-3.355642222416467,0.00249076420943697,34.57943925233645,0,3.0010231698461842,9.190287332835666
2006-01-31,255795,16.206013029138376,-8.14451187450507,0.15319899848676402,46.2962962962963,0,8.364726099875552,7.841286929262823
2006-02-28,249609,11.854540565974323,-11.343278715495964,-0.01180703669207936,33.02752293577982,0,5.803818540825012,6.0507220251493115
2006-03-31,259370,14.322361113559822,-12.011880991485935,0.08187676962573694,40.909090909090914,0,9.675670639256651,4.6466904743031705
2006-04-30,265164,21.944197896498903,0.7981315022241837,0.37186651061639864,55.85585585585585,0,13.291265073259284,8.652932823239619
2006-05-31,255608,16.501066525678667,1.38723413699935,0.16152516192281816,47.32142857142857,0,6.5958875367184255,9.905178988960241
2006-06-30,251495,12.19791838610236,0.006607883420508998,-0.004904475337963853,34.51327433628318,0,6.620331897962783,5.577586488139577
2006-07-31,256016,9.602928270222822,-6.6030847589155535,-0.10526857591177996,31.57894736842105,0,3.441961464292076,6.160966805930746
2006-08-31,249368,7.764909248055307,-4.089631317919016,-0.17619814780381535,27.82608695652174,0,6.841592028385768,0.9233172196695394
2006-09-30,261769,6.9890341645243215,-7.3333269490355,-0.2056318421069555,26.72413793103448,0,8.710866610786038,-1.7218324462617165
2006-10-31,267710,11.607217302849904,-10.336980593648999,-0.023419208273797554,33.33333333333333,0,14.16144025318764,-2.5542229503377367
2006-11-30,294899,21.405575865362447,4.904509339683781,0.36287763198924256,56.779661016949156,0,12.097032365464045,9.308543499898402
2006-12-31,303288,24.248457586706973,12.050539200604613,0.4732896208688491,60.50420168067227,0,13.619431382130752,10.62902620457622
2007-01-31,311506,21.7795500302977,12.176621760074877,0.3727599254217338,57.98319327731093,0,12.35547778263859,9.424072247659108
2007-02-28,321171,28.66963931589006,20.904730067834752,0.6448022329701856,69.74789915966386,0,9.851170490215978,18.81846882567408
2007-03-31,317737,22.503373559008377,15.514339394484056,0.39488133685440685,60.50420168067227,0,9.73417154507963,12.769202013928748
2007-04-30,342084,29.00846268724262,17.401245384392716,0.6531870105257114,71.42857142857143,0,13.105347891439866,15.903114795802754
2007-05-31,382312,49.56965353197083,28.16407766660838,1.4641372353306352,90.75630252100841,0,20.512719571054028,29.0569339609168
2007-06-30,408444,62.406409670172366,38.15795208346539,1.9387319599600128,92.43697478991596,0,18.355377105967552,44.05103256420482
2007-07-31,416403,62.647256421473664,40.867706391175965,1.908374125830613,93.27731092436974,0,13.990412482571713,48.65684393890195
2007-08-31,362475,45.357463668153095,16.687824352263036,1.2162453172064671,89.07563025210085,1,13.05164823365188,32.30581543450121
2007-09-30,359104,37.18354732607758,14.680173767069203,0.88910854079617,82.35294117647058,1,14.290526630984024,22.893020695093554
2007-10-31,376979,40.81618168914123,11.807719001898612,1.0225808600419302,86.5546218487395,1,12.441760889443664,28.374420799697567
2007-11-30,379593,28.719663342364665,-20.849990189606164,0.5453393776076183,71.42857142857143,1,5.748127628281563,22.971535714083103
2007-12-31,355292,17.14673841365304,-45.259671256519326,0.08987726811136248,49.57983193277311,1,3.529577663399852,13.617160750253188
2008-01-31,365592,17.362747427015847,-45.284508994457816,0.1022347105720337,51.26050420168067,1,-4.150211369451551,21.512958796467398
2008-02-29,377088,17.41035149499799,-27.947112173155105,0.11058101731587774,52.10084033613446,1,-5.415760367353306,22.826111862351297
2008-03-31,349419,9.971139653235216,-27.212407672842364,-0.17527260622080015,32.773109243697476,1,-6.908492040032089,16.879631693267307
2008-04-30,332303,-2.8592392511780695,-43.6754209403193,-0.6733685800978004,24.369747899159663,0,-6.528734391548663,3.6694951403705933
2008-05-31,341610,-10.646278432275214,-39.36594177463988,-0.9683045003586142,19.327731092436977,0,-8.508970221217528,-2.137308211057686
2008-06-30,346892,-15.06987494001626,-32.2166133536693,-1.125853714675432,13.445378151260504,0,-14.85681976918215,-0.21305517083411019
2008-07-31,343297,-17.556549784703755,-34.9192972117196,-1.203714929494196,12.605042016806722,0,-12.911006205034104,-4.645543579669651
2008-08-31,324814,-10.389957928132976,-27.800309423130965,-0.9056898033182048,21.84873949579832,0,-12.968880385891357,2.578922457758381
2008-09-30,345745,-3.720092229549099,-13.691231882784315,-0.6365810272070515,27.73109243697479,0,-23.605043392827906,19.884951163278807
2008-10-31,277568,-26.370434427381895,-23.511195176203824,-1.5071090330729118,8.403361344537815,0,-37.474989995998406,11.104555568616512
2008-11-30,227334,-40.1111190143127,-29.464840582037485,-1.9930962952944513,1.680672268907563,0,-39.48985241098073,-0.6212666033319678
2008-12-31,210185,-40.841617599045286,-25.771742659029023,-1.9706980148498803,1.680672268907563,0,-38.48579367457571,-2.3558239244695756
2009-01-31,205007,-43.92464824175584,-26.368098457052085,-2.0314454800425668,0.0,0,-40.09067498458525,-3.833973257170591
2009-02-28,199655,-47.05347292939579,-36.66351500126281,-2.0889617447759243,0.0,0,-44.7562432832568,-2.2972296461389874
2009-03-31,203967,-41.62681479827943,-37.90672256873033,-1.8470847002262423,2.5210084033613445,0,-39.678687533076285,-1.9481272652031478
2009-04-30,208010,-37.40351426258566,-11.033079835203765,-1.6590021609763412,6.722689075630252,0,-37.00806154778831,-0.3954527147973508
2009-05-31,214401,-37.23807851058224,2.873040503730458,-1.6185690061732263,7.563025210084033,0,-34.3649580828061,-2.8731204277761435
2009-06-30,217140,-37.404148841714424,3.437468757330862,-1.5911564284865412,6.722689075630252,0,-28.178124999999998,-9.226023841714426
2009-07-31,228734,-33.371395613710575,10.553252628045264,-1.4238926087909622,11.76470588235294,0,-22.08493111773896,-11.286464495971614
2009-08-31,236251,-27.265758249336542,19.787714680059246,-1.1926041517237727,15.966386554621847,0,-20.439964765401484,-6.825793483935058
2009-09-30,254107,-26.50450476507252,15.122310033206912,-1.1466950015857063,16.80672268907563,0,-9.36931993552591,-17.13518482954661
2009-10-31,265404,-4.382349550380448,33.02116471220521,-0.37640266672412853,37.81512605042017,0,6.961548387096772,-11.34389793747722
2009-11-30,250988,10.404954824179402,47.64303333476164,0.14539830177285873,47.89915966386555,0,22.24738909220745,-11.842434268028047
2009-12-31,262399,24.841924970858997,62.24607381257342,0.6683230918454671,75.63025210084034,0,23.454193191253793,1.387731779605204
2010-01-31,266455,29.97361065719708,63.34500627090766,0.8694232869386965,83.19327731092437,0,30.027364750326903,-0.05375409312982171
2010-02-28,263657,32.0562971125191,59.32205536185564,0.9780323020303765,85.71428571428571,0,50.25235005237454,-18.19605293985544
2010-03-31,277798,36.19752214819063,62.702026913263154,1.1743730873268512,89.91596638655463,0,46.56898993570382,-10.37146778751319
2010-04-30,295550,42.08451516754002,46.466864717920465,1.3990533859466419,95.7983193277311,0,35.9608620432855,6.123653124254517
2010-05-31,268566,25.26340828634195,14.858453462162547,0.7715790400544595,76.47058823529412,1,18.52492547381248,6.738482812529469
2010-06-30,263202,21.213042276872063,-3.6288826939869345,0.6288228207348674,69.74789915966386,1,12.116564417177923,9.09647785969414
2010-07-31,267468,16.934080635148252,-13.03953002204883,0.47638327370049954,62.18487394957983,1,11.556689755741868,5.377390879406384
2010-08-31,268371,13.595709647789844,-18.46058746472925,0.3604750071729254,55.46218487394958,1,2.8129960220258265,10.782713625764018
2010-09-30,288540,13.550590892812874,-22.646931255377755,0.37120289008648644,55.46218487394958,1,7.95777046202748,5.592820430785394
2010-10-31,303428,14.326837575921992,-27.757677591618027,0.4075527655357161,57.98319327731093,0,14.193342919734796,0.13349465618719591
2010-11-30,309340,23.24892026710441,-2.0144880192375396,0.749130400197095,77.31092436974791,0,7.750791781897148,15.49812848520726
2010-12-31,313678,19.542376304787744,-1.6706659720843184,0.59458173518228,68.0672268907563,0,12.782710070845681,6.759666233942063
2011-01-31,326868,22.67287159182601,5.738790956677757,0.7037782123151128,75.63025210084034,0,19.764962239377205,2.9079093524488044
2011-02-28,348979,32.36098415744699,18.765274509657146,1.0643283389272609,89.91596638655463,0,20.165868409854326,12.195115747592666
