,margin_debt,market_cap,ratio,pctl,zscore,delta_12m,delta_pctl
2003-04-30,143237,8701970.0,1.6460295772106774,66.66666666666666,0.22752850348716686,0.09277106598443208,49.333333333333336
2003-05-31,153725,9218890.0,1.6675001003374594,71.05263157894737,0.33482536478915603,0.10610737150677729,52.63157894736842
2003-06-30,168281,9342420.0,1.8012570618747603,85.71428571428571,1.009041456041347,0.16046946848471366,58.44155844155844
2003-07-31,174427,9555190.0,1.8254686719991962,85.8974358974359,1.117198410520278,0.15544427818886453,57.692307692307686
2003-08-31,167200,9770560.0,1.7112632233976355,73.41772151898735,0.5270636707720732,0.1033899064266024,49.36708860759494
2003-09-30,171194,9649680.0,1.7740899180076437,81.25,0.8418595038899455,0.0232090553990556,32.5
2003-10-31,175428,10224520.0,1.7157578057454042,72.8395061728395,0.5364540774300111,0.05676903901157071,40.74074074074074
2003-11-30,182587,10352220.0,1.7637472928511952,80.48780487804879,0.7777148278102688,0.1872064092910921,63.41463414634146
2003-12-31,181459,10799630.0,1.680233489480658,68.67469879518072,0.34131804913630953,0.008798462830180487,28.915662650602407
2004-01-31,189429,11029200.0,1.7175225764334674,72.61904761904762,0.5321610105555659,-0.022659354306821644,26.190476190476193
2004-02-29,190448,11172890.0,1.7045545064884735,69.41176470588235,0.46083938905129107,-0.057932009829916975,21.176470588235293
2004-03-31,191451,11039420.0,1.734248719588529,74.4186046511628,0.6125448470600989,-0.057473938281826564,22.093023255813954
2004-04-30,198778,10793660.0,1.8416181350904144,87.35632183908046,1.1648227828752915,0.19558855787973695,65.51724137931035
2004-05-31,193843,10926360.0,1.7740857888628967,80.68181818181817,0.8007312251572744,0.10658568852543726,54.54545454545454
2004-06-30,193993,11138910.0,1.74157974164438,75.28089887640449,0.6238800837124938,-0.059677320230380415,20.224719101123593
2004-07-31,187844,10701650.0,1.755280727738246,77.77777777777779,0.6909713354490443,-0.0701879442609501,20.0
2004-08-31,187828,10719150.0,1.7522658046580188,76.92307692307693,0.6696052049622748,0.041002581260383364,41.75824175824176
2004-09-30,193668,10895480.0,1.7775077371533883,83.69565217391305,0.7973384592466207,0.0034178191457445717,31.521739130434785
2004-10-31,197999,11068950.0,1.7887785200944986,83.87096774193549,0.8497767420066462,0.0730207143490944,48.38709677419355
2004-11-30,211012,11568540.0,1.8240158222213,86.17021276595744,1.0273306579490407,0.06026852937010485,45.744680851063826
2004-12-31,217573,11971140.0,1.8174793712211201,85.26315789473684,0.9821065901694122,0.13724588174046204,62.10526315789474
2005-01-31,220122,11642570.0,1.8906650335793556,90.625,1.3539762774626452,0.17314245714588816,65.625
2005-02-28,223155,11863480.0,1.8810247920508991,88.65979381443299,1.2847705913958962,0.1764702855624256,65.97938144329896
2005-03-31,226876,11638270.0,1.9493962590659952,91.83673469387756,1.61767903530445,0.21514753947746623,70.40816326530613
2005-04-30,217447,11363520.0,1.9135531947847144,89.8989898989899,1.40724545242802,0.07193505969430003,46.464646464646464
2005-05-31,219404,11787810.0,1.861278727770468,86.0,1.1204084937605863,0.0871929389075714,50.0
2005-06-30,224153,11876740.0,1.8873276673565305,88.11881188118812,1.2410276227544632,0.14574792571215056,61.386138613861384
2005-07-31,233585,12360810.0,1.8897224372836408,88.23529411764706,1.2379923169152565,0.1344417095453947,59.80392156862745
2005-08-31,231400,12217130.0,1.8940618623195464,89.32038834951457,1.2450062070880994,0.14179605766152759,61.165048543689316
2005-09-30,244669,12289260.0,1.9909172724801982,98.07692307692307,1.714721026633782,0.21340953532680995,71.15384615384616
2005-10-31,239868,12063240.0,1.9884210212181803,97.14285714285714,1.6710194567227765,0.19964250112368176,69.52380952380952
2005-11-30,242904,12521920.0,1.9398303135621373,88.67924528301887,1.403346610465209,0.11581449134083721,54.71698113207547
2005-12-31,244098,12517690.0,1.9500243255744472,90.65420560747664,1.4342613545771679,0.13254495435332703,57.943925233644855
