Date,margin_debt,margin_yoy,margin_pctl,free_credit,net_margin
2008-11-30,227334,-40.1111190143127,55.833333333333336,364232,-136898
2008-12-31,210185,-40.841617599045286,46.666666666666664,345713,-135528
2009-01-31,205007,-43.92464824175584,45.0,316763,-111756
2009-02-28,199655,-47.05347292939579,44.166666666666664,310503,-110848
2009-03-31,203967,-41.62681479827943,44.166666666666664,291927,-87960
2009-04-30,208010,-37.40351426258566,45.0,285658,-77648
2009-05-31,214401,-37.23807851058224,48.333333333333336,275313,-60912
2009-06-30,217140,-37.404148841714424,48.333333333333336,283874,-66734
2009-07-31,228734,-33.371395613710575,55.833333333333336,277082,-48348
2009-08-31,236251,-27.265758249336546,57.49999999999999,281989,-45738
2009-09-30,254107,-26.50450476507252,65.83333333333333,287196,-33089
2009-10-31,265404,-4.382349550380448,75.0,299858,-34454
2009-11-30,250988,10.404954824179402,63.33333333333333,284071,-33083
2009-12-31,262399,24.841924970858997,70.83333333333334,281043,-18644
2010-01-31,266455,29.97361065719708,75.0,281035,-14580
2010-02-28,263657,32.0562971125191,70.83333333333334,106131,157526
2010-03-31,277798,36.19752214819063,80.0,108908,168890
2010-04-30,295550,42.08451516754002,80.83333333333333,111217,184333
2010-05-31,268566,25.26340828634195,76.66666666666667,114051,154515
2010-06-30,263202,21.213042276872063,70.0,114265,148937
2010-07-31,267468,16.934080635148252,75.0,106290,161178
2010-08-31,268371,13.595709647789844,75.83333333333333,106870,161501
2010-09-30,288540,13.550590892812874,79.16666666666666,114321,174219
2010-10-31,303428,14.326837575921992,81.66666666666667,114784,188644
2010-11-30,309340,23.24892026710441,81.66666666666667,119305,190035
2010-12-31,313678,19.542376304787744,82.5,126098,187580
2011-01-31,326868,22.672871591826006,85.0,130894,195974
2011-02-28,348979,32.36098415744699,90.0,135760,213219
2011-03-31,355413,27.939366014154167,91.66666666666666,133386,222027
2011-04-30,360883,22.105565894095758,92.5,133131,227752
2011-05-31,355736,32.4575709509022,90.83333333333333,133727,222009
2011-06-30,345273,31.18175393803999,85.0,139575,205698
2011-07-31,344572,28.827373741905582,84.16666666666667,138316,206256
2011-08-31,308866,15.089186238453479,74.16666666666667,135508,173358
2011-09-30,298277,3.3745754488112567,71.66666666666667,141806,156471
2011-10-31,317028,4.4821176687715125,76.66666666666667,133639,183389
2011-11-30,303930,-1.7488847223120163,72.5,132934,170996
2011-12-31,301616,-3.8453445890371696,70.0,142533,159083
2012-01-31,309844,-5.208218608123161,74.16666666666667,137309,172535
2012-02-29,323021,-7.438269924551333,78.33333333333333,139609,183412
2012-03-31,330815,-6.9209623733515695,80.0,142297,188518
2012-04-30,335154,-7.129457469595413,80.83333333333333,138909,196245
2012-05-31,315147,-11.409865743135361,73.33333333333333,139111,176036
2012-06-30,320952,-7.043991276468187,75.0,138937,182015
2012-07-31,313525,-9.010308440616189,70.83333333333334,124330,189195
2012-08-31,320395,3.732686666709828,74.16666666666667,124276,196119
2012-09-30,339159,13.706051757259186,80.83333333333333,129389,209770
2012-10-31,342325,7.979421376029872,82.5,124800,217525
2012-11-30,351441,15.632217944921534,88.33333333333333,135650,215791
2012-12-31,355009,17.70231022226938,88.33333333333333,162206,192803
2013-01-31,388123,25.264003821277804,97.5,142856,245267
2013-02-28,390351,20.84384606573566,97.5,142123,248228
